ID,Title,Host_IP,Host_Name,Event_Time
"=HYPERLINK(""https://app.squadcast.com/incident/6918469f5df658e6a943a18a"",""6918469f5df658e6a943a18a"")",Zabbix agent is not available (for 3m),10.10.246.91,mail1,14:53:42
"=HYPERLINK(""https://app.squadcast.com/incident/69183c9fe6da3513587ccf0a"",""69183c9fe6da3513587ccf0a"")",Unavailable by ICMP ping,10.20.246.45,CHN_WSUS_VM_Server,13:16:22
"=HYPERLINK(""https://app.squadcast.com/incident/691839035df658e6a94380fe"",""691839035df658e6a94380fe"")",Zabbix agent is not available (for 3m),10.20.246.180,pex-vdi,12:57:00
"=HYPERLINK(""https://app.squadcast.com/incident/691838d25df658e6a94380c4"",""691838d25df658e6a94380c4"")",Interface ethernet_32771(Local Area Connection* 8): Link down,10.10.246.100,HE-GROWIPX-ADC_VM_Server,13:54:45
"=HYPERLINK(""https://app.squadcast.com/incident/691837105df658e6a9437bf9"",""691837105df658e6a9437bf9"")",Unavailable by ICMP ping,10.20.246.125,CHN_Fileshare_Physical_Windows-server,12:52:39
"=HYPERLINK(""https://app.squadcast.com/incident/691836f2e6da3513587cc1a9"",""691836f2e6da3513587cc1a9"")",Unavailable by ICMP ping,10.20.246.77,MSSQLSRV_windows _server,12:52:09
"=HYPERLINK(""https://app.squadcast.com/incident/69183692e6da3513587cc061"",""69183692e6da3513587cc061"")",Interface ethernet_4(NIC3-QoS Packet Scheduler-0000): Link down,10.20.246.125,CHN_Fileshare_Physical_Windows-server,12:50:34
"=HYPERLINK(""https://app.squadcast.com/incident/6918301fe6da3513587caed9"",""6918301fe6da3513587caed9"")",Zabbix agent is not available (for 3m),10.10.246.91,mail1,13:17:42
"=HYPERLINK(""https://app.squadcast.com/incident/6917fc15e6da3513587c0e84"",""6917fc15e6da3513587c0e84"")",Zabbix agent is not available (for 3m),10.20.246.172,knode04,09:35:41
"=HYPERLINK(""https://app.squadcast.com/incident/6917fbfc5df658e6a942c36f"",""6917fbfc5df658e6a942c36f"")",Zabbix agent is not available (for 3m),10.20.246.164,haproxy01,09:35:16
"=HYPERLINK(""https://app.squadcast.com/incident/6917fbf25df658e6a942c310"",""6917fbf25df658e6a942c310"")",Zabbix agent is not available (for 3m),10.20.246.167,knode02,09:35:06
